Zeitstempel,Participant-ID,Collision,Feedback,What did you like about the presented or missing feedback (feeling when touching/overlapping with the other avatar)?,What did you NOT like about the presented or missing feedback (feeling when touching/overlapping with the other avatar)?,What did you like about the presented or missing collision with the other avatar? ,What did you NOT like about the presented or missing collision with the other avatar? 
2018/08/02 10:25:58 AM OEZ,1,Col_off,FB_on,language,moving through the infos I read,nothing,"sometimes the avatar disturbing me, concentration was lost"
2018/08/02 10:37:36 AM OEZ,1,Col_off,FB_off,nothing,language,nothing,"to close, disturbing me sometimes in doing my things"
2018/08/02 10:54:09 AM OEZ,1,Col_on,FB_on,nothing,disturbing me the whole time,nothing,disturbing me the whole time
2018/08/02 11:13:14 AM OEZ,1,Col_on,FB_off,my behavour  influecenced the other avatar :-),nothing,nothing,nothing
2018/08/02 11:48:47 AM OEZ,2,Col_off,FB_on,i liked the vibration and that the interface became a bit darker so i got the feeling that another person is disturbing me.,i did not like that you have no feedback at your body when another person collides with you. ,the rumble feedback from the controllers and the visual feedback,i did not like that the other avatar was clipping sometimes and you could see trough so that destroyed the feeling of realism a lot.
2018/08/02 12:02:06 PM OEZ,2,Col_off,FB_off,nothing,there was no feedback so i didn't liked it at all,nothing,the feedback. there was no feeling of overlapping
2018/08/02 12:14:27 PM OEZ,2,Col_on,FB_off,i liked the collision with the other people and that you were not able to go through them. felt real,no feedback to your body,i liked the collision with the other people and that you were not able to go through them. felt real. and i liked that i wasn't able to read the text when the other avatar were between me and the text,nothing
2018/08/02 12:26:43 PM OEZ,2,Col_on,FB_on,the sound feedback the visual feedback and the rumble feedback,nothing,i liked that the sound the rumble of the controller and the screen getting darker. that was near to realism to simulate a crash between two people. i really felt disturbed when an avatar ran into me,nothing
2018/08/02 2:39:00 PM OEZ,3,Col_off,FB_on,I like the Scene and the very easy functions. It was easy to learn and easy to walk around in the museum and in the street. The way of presenting the information was very useful and common to the real world. ,Nothing,-,"Because it is a vr collision, you cannot located really at which point you will touch the other person, so nothing harm you. And the viewfield is to small to identify the other person."
2018/08/02 3:00:06 PM OEZ,3,Col_on,FB_on,"I feel attached, little bit moved and would do a step backward or forward","The collision was to hard, the tone too loud and I could not see him coming and leaving me.",nothing,"there is no physical border of the body, which tells you stop."
2018/08/02 3:15:54 PM OEZ,3,Col_off,FB_off,"cannot feel nothing, which is not real.","Cannot see people moving into my direction, so I cannot react spontanously.",Nothing,the viewfield is too small to feel comfortable to read the information while some other customer hits me.
2018/08/02 3:31:06 PM OEZ,3,Col_on,FB_off,"There are no feelings, because the avatar touches me without any push.",nothing,"the collision was alright, I wait till the person leave me again.",
2018/08/02 4:58:00 PM OEZ,4,Col_off,FB_on,None,"The sound was very distracting, especially when repeatedly triggered in contrast to beeing continuous.","I was able to enter the museum, when the entrance was blocked by another person",None
2018/08/02 5:20:41 PM OEZ,4,Col_on,FB_on,The sound was less distracting than the one in the the previous condition,None,None,"The collision hindered me from entering the museum, additionally this placed the other party in the text I was reading in contrast to the no collision condition, where he passed right through, not obstructing my sight on the informations"
2018/08/02 5:44:37 PM OEZ,4,Col_on,FB_off,Least distracting so far,It was a bit too less,None,same as last time
2018/08/02 6:02:14 PM OEZ,4,Col_off,FB_off,The missing feedback allowed me to read more concentrated,None,Movement was more unrestricted ,None
2018/08/07 2:41:12 PM OEZ,5,Col_off,FB_on,"Es war spannend, die Position der anderen Person einzunehmen.",Das Nahekommen zur Person war etwas unangenehm.,"Die Kollision war angenehm, wenn man die andere Position innehatte.",Die Kollision war neu und ungewohnt.
2018/08/07 3:08:32 PM OEZ,5,Col_on,FB_off,Es war angenehmer als beim FB_on.,Der anderen Person ganz nah zu sein.,Nichts.,"Es nervte, den zu lesenden Text drehen zu müssen, um ihn lesen zu können."
2018/08/07 3:26:52 PM OEZ,5,Col_off,FB_off,Es gefällt mir besser ohne Feedback.,Das fehlende Feedback.,Das Beide im Raum bleiben.,Manchmal die Nähe zur anderen Person.
2018/08/07 3:47:42 PM OEZ,5,Col_on,FB_on,Habe ich nicht wirklich wahrgenommen.,s.o.,Nichts.,Es ist gefühlsmäßig unangenehm.
2018/08/08 3:14:49 PM OEZ,6,Col_off,FB_on,the dark (slightly red) light,"the sound was annoying,",i could walk anywhere I like!,-
2018/08/08 3:36:44 PM OEZ,6,Col_on,FB_off,don`t got disturbed,Could figure Out if I was running against a wall (because i left the circle) or was blocked by a person,got only distracted from reading if the person stands in front of me,i was not able to enter the house or some rooms because of the stupid idiot blocking me
2018/08/08 3:58:27 PM OEZ,6,Col_on,FB_on,It was nice that I was able to realize when I touch the other Person. Some times it was quite amusing colliding with the other person and listening to the Sound. ,"The Sound was a bit Lo-Fi, and was quite distracting when I was reading","I only got disturbed from reading when the Personen was in front of me, but now i realized that this was no Problem when I was positioning my self directly in front of a wall.",I was not able to go everywhere I want to!
2018/08/08 4:16:28 PM OEZ,6,Col_off,FB_off,"I did not get distracted😁, only a little bit if the other person stood right in front of me",nothing,I was able to everywhere I like!,"It was a weird feeling, when I stood only half inside the other avatar. "
2018/08/09 4:25:48 PM OEZ,7,Col_off,FB_off,"as there was no feedback for the collisions you sometimes didn't event notice you collided with someone, which didn't interrupt you from what you were doing",-,-,the overlapping avatar sometimes hid the information I was reading
2018/08/09 4:38:17 PM OEZ,7,Col_off,FB_on,it was easier to notice when you were overlapping with the other avatar,the heartbeat-ish sound made me slightly uncomfortable,-,-
2018/08/09 4:50:48 PM OEZ,7,Col_on,FB_on,the other avatar couldn't get too close to me,-,the experience felt a bit more real with the collision,I couldn't pass if the other avatar blocked the way
2018/08/09 5:04:08 PM OEZ,7,Col_on,FB_off,"if someone didn't directly stand in front of me I didn't even notice the collisions, which means I didn't get interrupted in my reading","if you're the person innitiating the collisions it didn't feeld as good, it was harder to notice that you ran into another avatar",not being able to run through someone felt more natural,it was annoying that you couldn't pass other avatars
2018/08/13 2:31:57 PM OEZ,8,Col_off,FB_off,The overlapping was not present and because of that not so much disruptive,without any feedback I did not really recognize the overlapping,It felt like a ghost being there who you could ignore.,I did not really recognize it. Suddenly there were an avatar in front of me and i did not hear him coming. That was very irritating. 
2018/08/13 2:49:44 PM OEZ,8,Col_off,FB_on,The heartbeat when overlapping gave a natural feeling to be near a person,it was very present ,i did not like it,the overlapping did not feel natural and irritated me
2018/08/13 3:13:52 PM OEZ,8,Col_on,FB_off,It was not disruptive.,I did not have a natural feeling. it seems that an dead object collides with me and not a person.  Usually other people make sound like breathing. ,The collision was more natural than the overlapping. ,"The way to navigate is more difficult with other persons in the same room. 
For my personal mood it would have been better to stop the other avatar a little bit earlier, so that he could not come very closely."
2018/08/13 3:30:25 PM OEZ,8,Col_on,FB_on,The sound feedback felt very natural.,The vibration was unnecessary in my opinion. It irritated me because not the controller collided with the other avatar. The vibration should be at the collision point to give a natural feeling.,The collision felt more natural than the overlapping. ,The collision makes it more difficult to navigate. 
2018/08/13 5:19:42 PM OEZ,9,Col_off,FB_off,Es hat nicht genervt.,Eine Art Vibratiom wäre ok gewesen,Keine Einschränkungen im Tun,Teilweise Überlappung der Avatare
2018/08/13 5:33:13 PM OEZ,9,Col_on,FB_on,"Vibration war angenehm, nicht zu nervig",Soundeffekt,Das es ein Feedback gab,Sound war auf dauer nervig
2018/08/13 5:56:52 PM OEZ,9,Col_off,FB_on,Sound war besser als #1,"Die Dauerbeschallung, wenn man im Avatar ""drin"" war",Sound war ok,Intervall des Sounds war zu hoch
2018/08/13 6:21:05 PM OEZ,9,Col_on,FB_off,Ohne Sound war es angenehmer,Das Überlappen der Avatare,Keine nervigen Geräusche,Keine Anmerkung
2018/08/14 12:36:26 PM OEZ,10,Col_off,FB_off,I could not feel other persons touching me.,"There was no haptical feedback, but i didn*t like it when the person came to close and therefor invaded my personal space.",I didn*t like anything about the collisions.,"I didn*t like when the others came between me and the presented objects, and i didn*t like when the other person came to close in front of me."
2018/08/14 12:57:36 PM OEZ,10,Col_on,FB_on,I liked the sound; it notified me that another person is there.,"I did not like the sound and haptical feedback, because it destracted me from my experience.",I didn*t like anything about it.,"I didn*t like that it prevented me from going to some places, and it distracted me from my experience while reading."
2018/08/14 1:21:59 PM OEZ,10,Col_on,FB_off,I liked that it distracted me less from my experience.,It left me with no explanation why interaction happened.,It gave me a feeling of a present person.,It prevented me from going to some places.
2018/08/14 1:45:50 PM OEZ,10,Col_off,FB_on,I liked that i got notified. I think this could be useful if a known person wants to grab my attention.,I didn*t like that that it distracted me from my reading experience.,I liked that I was not stopped going to places.,I liked the missing collision.
2018/08/15 10:24:06 AM OEZ,11,Col_off,FB_off,Don`t know.,Don`t know.,Don`t know.,Don`t know.
2018/08/15 10:38:39 AM OEZ,11,Col_on,FB_off,Don`t know.,Don`t know,Don`t know.,Don`t know.
2018/08/15 10:57:38 AM OEZ,11,Col_off,FB_on,Nüscht.,Auditory cue nervt: Repetition nutzt stark ab.,Don`t know.,Don`t now.
2018/08/15 11:12:53 AM OEZ,11,Col_on,FB_on,Single-shot auditory feedback adequate,--,--,--
2018/08/15 2:20:38 PM OEZ,12,Col_off,FB_off,It felt natural and not disturbing,- - -,It felt natural and not disturbing,- - -
2018/08/15 2:40:54 PM OEZ,12,Col_on,FB_off,---,---,---,"if the other avatar is in front of you and stays there because of the collision, it feels disturbing because it stays there longer than if you would not have a collision. You have the same disturbing feeling like queuing in real world."
2018/08/15 3:01:53 PM OEZ,12,Col_on,FB_on,I could imaging that this feedback is quite useful in other situations like if you ride a bike and crash or if you fight in VR,The feedback was really disturbing. ,"If you want to interact with other people in VR, it could be quite nice,e.g. fighting or if you want to swim with a whale.","It felt disturbing in that situation, more disturbing than without a feedback."
2018/08/15 3:35:10 PM OEZ,12,Col_off,FB_on,It feels funny when you hear the pulse of the other person. However there are better situations than in a museum ,If it is not so loud and intensive if will work better. I would expect that you could touch someone/something with the finger and you will get a feedback for it. So it would invite you to play around.,---,---
2018/08/21 6:13:45 PM OEZ,13,Col_on,FB_on,the vibrations,nothing,/,detailed feedback
2018/08/21 6:34:42 PM OEZ,13,Col_off,FB_on,vibration,sound and vision,freedom,nothing
2018/08/21 6:53:49 PM OEZ,13,Col_off,FB_off,nothing,there was no feedback,nothing,v
2018/08/21 7:17:07 PM OEZ,13,Col_on,FB_off,nothing,missing sound,collision was aktiv,nothing
2018/08/22 11:26:35 AM OEZ,14,Col_on,FB_on,,es fehlt eine reaktion: Lass das oder so,,das hinsehen in den mund/ augenhöhle
2018/08/22 11:41:08 AM OEZ,14,Col_off,FB_on,reaktion beim ineinanderlaufen,herztöne durch anderes geräusch ersetzen,durchgehen,nicht realitätsnah
2018/08/22 11:53:12 AM OEZ,14,Col_on,FB_off,fehlendes feedback stört bei lesen nicht,,,"avatar kann im weg stehen, stört beim lesen"
2018/08/22 12:04:50 PM OEZ,14,Col_off,FB_off,,,,"man fühlt sich alleine, avatare könnte auch ausstellungsstücke sein"
2018/08/23 11:25:05 AM OEZ,15,Col_on,FB_on,"- haptisches Feedback ist wichtig und notwendig
- jedem selber vielleicht überlassen, möchte man alleine im Museum sein und kann sie ausstellen, deaktivieren oder klein machen, oder möchte man das Erlebnis eines Museumbesuches aufrecht erhalten - dies könnte einem selber überlassen sein","- das haptische Feedback war für mich nur störend bei ständiger Kollision
- der Mensch war für mich zu groß im VR
- wenn er neben mir stand, wurde das Info-Feld verdeckt und somit das lesen erschwert","- das es ein haptisches Feedback gibt, erachte ich als wichtig und notwendig, dadurch wird das reale Museumserlebnis unterstützt
- somit wird auch ein vorsichtiger und rücksichtsvoller Umgang im VR Museum gestaltet","- völlige Anonymität im Museum
- es könnte sich dabei nicht nur, um einen Menschen, sondern auch um ein Ausstellungsstück handeln"
2018/08/23 11:36:21 AM OEZ,15,Col_off,FB_off,- empfand ich als störender,- das Geräusch hat sich sehr unangenehm angefühlt,,- Bildschirm wurde noch immer verdeckt bei Kollision
2018/08/23 11:54:37 AM OEZ,15,Col_off,FB_on,"- die Verdunklung habe ich als recht eindringlich anerkannt, jedoch war es oftmals zu lange dunkel, dass es zu recht langen Unterbrechungen kam","- haptisches Feedback recht stark, man konnte sogar das Vibrieren des Controllers hören",,"- Avatar war noch immer zu sehr ersichtlich, steht zu stark in der Infotafel"
2018/08/23 12:09:57 PM OEZ,15,Col_on,FB_off,"- es wirkte einiges entspannt
- ich wurde nicht so schnell genervt oder gestresst vom anderen Avatar","- fühlte sich sehr anonym, gerade wenn der Avatar hinter einem war, hatte man den Eindruck alleine zu sein, da kein Feedback kam",- enspannteres Betrachten der Anzeigetafeln,
2018/08/23 2:17:34 PM OEZ,16,Col_on,FB_on,the vibration feedback,maybe the vibration could be a little bit more intense,it felt realistic that you cant move inside the house when a person stands in your way,"the person could have some kind of ""bounce"" ( Rückstoß)"
2018/08/23 2:35:58 PM OEZ,16,Col_off,FB_off,i missed nothing,it felt not realistic,you dont have to wait until you can make your walk trought the house.,it can be annoying if anyone steps inside you while reading
2018/08/23 2:46:56 PM OEZ,16,Col_on,FB_off,nothing,it felt less realistic than with feedback,it was less annoying than if the person could stand inside you,it would be annoying if the person stands in your way so you have to wait
2018/08/23 2:58:25 PM OEZ,16,Col_off,FB_on,"i liked that heart sound, even if its unrealistic",i did not like that the contrast of the colours chanched,you can go wherever you want,could be annoying if you read a text
2018/08/24 11:27:13 AM OEZ,17,Col_on,FB_on,"Es war klar, dass man mit jemandem zusammengestoßen war","Geräusch und Gefühl, vor allem, wenn man die Person nicht direkt sehen konnte, waren irritierend",Die Person konnte nicht durch einen hindurch laufen und einem die Sicht versperren,"Zusammenstöße irritierten beim lesen, schlimmer, wenn man selbst angestoßen wurde"
2018/08/24 11:50:30 AM OEZ,17,Col_on,FB_off,Weniger Störung beim lesen,"Manchmal unklar, ob man in die andere Person reingelaufen ist (vor allem wenn man diese nicht sehen konnte)",weniger störend als mit feedback,"Wenn Person in einen reinlief, konnte man teilweise die Texte nicht mehr lesen (versperrte Sicht), es war nicht unbedingt klar ob man an der Person oder an einem anderen Objekt festhing"
2018/08/24 12:06:31 PM OEZ,17,Col_off,FB_on,"Durch Verdunklung wurde klar, dass man mit jemandem kollidiert war","Konstantes pochendes Geräusch und ständige Vibration machte mich nervös und war nicht hilfreich, da durch Verdunklung klar war, dass man mit jemandem kollidiert war","Man konnte nicht an der anderen Person festhängen, Person stand ehr in einem drin, als vor einem",Geräusche und Vibration störten beim Lesen und waren allgemein irritierend
2018/08/24 12:21:28 PM OEZ,17,Col_off,FB_off,Keine Störung beim Lesen / Bewegen,"Nicht klar, wenn man mit jemandem zusammengestoßen ist, fühlte sich ein wenig an als ob es ein technischer Fehler sei ",Keine Störung bein Lesen / Bewegen,"Person konnte plötzlich und unerwartet vor einem rauskommen, hätte ich nicht gewusst, dass diese dort ist, hätte ich mich ein wenig erschrocken (visuelles feedback wäre mir lieb gewesen)"
2018/09/27 4:19:11 PM OEZ,18,Col_on,FB_on,"i ,iked the sound at the collision","the vibration when someone bumps into you, while just standing around. should feel like that when you`re passive.","liked, that its an object, that you cant pass. feels like another real person ",lack of concentration while colliding. couldnt focus on the info boards
2018/09/27 4:41:10 PM OEZ,18,Col_on,FB_off,"was less disturbing, liked the audiell localisation of the other person",didnt liked that i had no feedback while ctively bumping into someone. ,feels like another person,felt unreal without feedback
2018/09/27 5:03:12 PM OEZ,18,Col_off,FB_off,feeling free in my own action,sometimes confusing. ,feeling free in movement,"felt unreal, couldnt localise the person after walking through"
2018/09/27 5:17:52 PM OEZ,18,Col_off,FB_on,nothing,"extremely disturbing, visual feedback was horrible",nothing,"felt really unreal, having feedback, but no collision doesnt make any sense"
2018/09/27 11:42:28 AM OEZ,19,Col_on,FB_off,"Mir hat gefallen, dass man quasi von allen Seiten an den Avatar heran gehen und ihn ""berühren"" konnte.","Ab und zu fühlt man sich etwas eingeengt, wenn man ""stecken bleibt"". Die Kollisionsbox erscheint manchmal größer als das Modell.","Man bekommt einen recht guten Eindruck von den ""physischen"" Grenzen des virtuellen Raumes und der Objekte. ",Das auch schon eine Berührung mit einem Körperteil z.B. des Arms ausreicht um komplett abzustoppen.
2018/09/27 12:00:05 PM OEZ,19,Col_off,FB_on,"Es hat mir im Museumskontext gefallen, dass man von dem Anderen nicht blockiert wird.",---,Die Idee mit dem Herzschlag ist sympatisch und überraschend.,Der Filter ist ablenkend und der Herzschlagton ist mir persönlich zu laut.
2018/09/27 12:18:59 PM OEZ,19,Col_off,FB_off,"Das fehlende Feedback erlaubt sich, auf die Umgebung besser zu konzentrieren.",Die anderen Avatare wirken unechter.,Man ist von anderen Avataren ungestört und hat trotzdem das Gefühl nicht allein zu sein.,---
2018/09/27 12:35:05 PM OEZ,19,Col_on,FB_on,Der Sound war recht realistisch.,Dem Sound fehlt ein bisschen Varianz um Realismus zu erzeugen.,---,"Blockieren, besonders wenn man nicht sofort identifizieren kann von wo man blockiert wird."
2018/10/04 12:40:38 PM OEZ,20,Col_on,FB_off,/,/,"Es war realitätsnah, dass man gehindert wurde durch die Objekte durchzulaufen.",/
2018/10/04 1:11:25 PM OEZ,20,Col_off,FB_on,Berührung des Avatars wurde signalisiert,"Sound spielte permanent bei Berührung, leichtes rauschen im Hintergrund.",meine Bewegungen wurden nicht vom Avatar beeinträchtigt,Avatar hindert am lesen bei Kollision
2018/10/04 1:26:54 PM OEZ,20,Col_on,FB_on,/,/,"machte nicht viel unterschied, außer dass ich nicht durch den Avatar hindurch gehen konnte und der permanente Sound weg war, da keine Kollision",/
2018/10/04 1:46:43 PM OEZ,20,Col_off,FB_off,"ich konnte das Museum ohne Komplikationen besichtigen , bzw. ohne den Trubel der Realität.","fehlt vielleicht etwas Musik, wenn sonst die Kollision mit anderen Avataren aus ist ","er hinderte mich nicht andere Räume zu betreten, als wäre man alleine in einem Museum",/
2018/10/08 11:13:07 AM OEZ,21,Col_on,FB_off,the other avatar doesn´t feel really real. it feels a little like a ghost. ,"sometimes the other character was over the textfields, so i wasn´t able to read the text anymore. ","i was able to concentrate to the textes an enviroment, not to the other person. ","sometimes the other character was over the textfields, so i wasn´t able to read the text anymore. "
2018/10/08 11:31:29 AM OEZ,21,Col_off,FB_off,i can totally concentrate on the enviroment,other people sty in the textfields without noticing it,the people move quickly trough me i don+t notice them that much,"when they hold on i bit next to me, there were pieces of their body in my view"
2018/10/08 11:45:05 AM OEZ,21,Col_off,FB_on,it was very present,i can´t concentrate on reading the text anymore,,"when it was next to me, they stay over the text"
2018/10/08 11:56:30 AM OEZ,21,Col_on,FB_on,i realize the other people,the sound was not realistic,with the sound i know why i can´t go in that direction,
2018/10/09 2:50:55 PM OEZ,22,Col_on,FB_off,feedback was subtile and not necessary ,Collision was a little annoying in small rooms,nearly natural ,The Hitbox was a little too big 
2018/10/09 3:24:02 PM OEZ,22,Col_off,FB_off,no feedback,no feedback needed,less annoying with no collision,nothing
2018/10/09 3:39:38 PM OEZ,22,Col_on,FB_on,nothing,Feedback was annoying,collision was natural,collision in small rooms is annoying 
2018/10/09 3:54:23 PM OEZ,22,Col_off,FB_on,Feedback was not annoying but absolutely  unnecessary,"tried to trigger feedback, rather than look around",missing collision was good in small rooms,nothing
2018/10/18 10:34:22 AM OEZ,23,Col_on,FB_off,Kaum Zusammenstöße beim Erkunden,Der andere Avatar konnte dennoch die Schrift überlappen,Man konnte nicht in ihn hineinlaufen,"Es gab zwei kurze Momente, in denen man teilweise im anderen Avatar stand"
2018/10/18 10:57:13 AM OEZ,23,Col_on,FB_on,Gutes Feedback. Sowohl durch Geräusche als auch optisch,Nichts,Man wurde nicht durch andere Avatare gestört,Text wurde teilweise verdeckt
2018/10/18 11:16:00 AM OEZ,23,Col_off,FB_on,Man hat ein direktes gutes Feedback bekommen,Nichts,"Man merkt immer, sobald man kollidiert",Etwas zu dunkle Sicht
2018/10/18 11:34:26 AM OEZ,23,Col_off,FB_off,Kein Feedback vorhanden. War aber auch sehr angenehm. Sinne wurden nicht abgelenkt,Nichts,"Es war überraschend angenehm, dass diese nicht vorhanden waren",Nichts
2018/10/18 12:02:51 PM OEZ,24,Col_on,FB_off,Nothing in particular,You only notice the Collision if you see it,Not being able to go through another person adds realism,Clipping of parts of the Head/Face being close to me are really creepy/frightening to look at
2018/10/18 12:18:18 PM OEZ,24,Col_on,FB_on,It added to the feeling/awareness of colliding with another person,nothing in particular,it felt almost real,Sometimes I got stuck
2018/10/18 12:33:42 PM OEZ,24,Col_off,FB_off,I got less distracted from reading,Less realism,my ability to move wasnt limited by other people,Standing in the same spot as someone else can obfuscate the view/be distracting
2018/10/18 12:45:52 PM OEZ,24,Col_off,FB_on,I noticed when I collided,It was too distracting,It didnt interfere with moving through the scene,Nothing in particular