Zeitstempel,Participant,Collision,Feedback,1. The people's behavior influenced my style of presentation. ,2. The people's behavior had an influence on my mood.,3. I reacted to the people's behavior.,4.I was easily distracted by the people.,5. Sometimes the people were influenced by my mood.,6. Sometimes the people were influenced by my style of presentation.,7. The people reacted to my actions.,8. I was able to interpret the people's reactions.,9. I had the feeling to interact with other human beings.,10. I felt connected to the other people.,11. I had the feeling that I was able to interact with people in the virtual room.,12. I had the impression that the audience noticed me in the virtual room.,13. I was aware that other people were with me in the virtual room.,14. I had the feeling that I perceived other people in the virtual room.,15. I felt alone in the virtual environment.,,,Subscale 1 Score,Subscale 2 Score,Subscale 3 Score,Subscale 4 Score,Total Score
2018/08/02 10:21:44 AM OEZ,1,Col_off,FB_on,4,5,5,6,1,4,5,1,1,2,1,7,7,4,1,,,20,11,11,12,54
2018/08/02 10:33:20 AM OEZ,1,Col_off,FB_off,5,6,2,3,1,1,1,1,1,1,1,2,7,4,1,,,16,4,5,12,37
2018/08/02 10:51:31 AM OEZ,1,Col_on,FB_on,7,7,7,5,1,5,5,5,5,1,5,4,7,5,1,,,26,16,15,13,70
2018/08/02 11:08:54 AM OEZ,1,Col_on,FB_off,7,7,7,1,4,7,6,7,7,1,6,6,7,4,1,,,22,24,20,12,78
2018/08/02 11:41:50 AM OEZ,2,Col_off,FB_on,2,6,2,2,2,2,2,3,6,5,4,6,6,6,2,,,12,9,21,14,56
2018/08/02 11:59:25 AM OEZ,2,Col_off,FB_off,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,,,4,4,4,8,20
2018/08/02 12:11:28 PM OEZ,2,Col_on,FB_off,5,6,6,6,6,6,5,4,7,6,5,6,7,6,2,,,23,21,24,15,83
2018/08/02 12:23:38 PM OEZ,2,Col_on,FB_on,7,7,7,6,6,6,6,3,7,7,7,7,7,6,1,,,27,21,28,14,90
2018/08/02 2:29:43 PM OEZ,3,Col_off,FB_on,3,3,5,5,5,4,5,4,5,3,4,4,5,5,3,,,16,18,16,13,63
2018/08/02 2:55:24 PM OEZ,3,Col_on,FB_on,6,5,6,6,5,5,5,6,6,5,6,5,5,5,3,,,23,21,22,13,79
2018/08/02 3:11:04 PM OEZ,3,Col_off,FB_off,7,6,7,6,7,7,6,6,5,5,5,2,4,6,2,,,26,26,17,12,81
2018/08/02 3:27:51 PM OEZ,3,Col_on,FB_off,5,4,5,6,5,5,7,6,6,6,6,6,5,6,6,,,20,23,24,17,84
2018/08/02 4:51:39 PM OEZ,4,Col_off,FB_on,6,5,5,5,2,3,2,2,3,5,5,5,7,6,3,,,21,9,18,16,64
2018/08/02 5:11:55 PM OEZ,4,Col_on,FB_on,5,5,2,4,1,3,2,2,5,6,5,4,6,6,2,,,16,8,20,14,58
2018/08/02 5:37:46 PM OEZ,4,Col_on,FB_off,3,2,3,5,2,2,2,2,5,5,5,5,6,6,1,,,13,8,20,13,54
2018/08/02 5:59:13 PM OEZ,4,Col_off,FB_off,4,5,3,5,2,2,2,2,5,5,5,5,6,6,2,,,17,8,20,14,59
2018/08/07 2:32:22 PM OEZ,5,Col_off,FB_on,2,1,2,2,1,2,1,2,1,1,1,2,2,6,2,,,7,6,5,10,28
2018/08/07 3:03:17 PM OEZ,5,Col_on,FB_off,5,5,7,5,2,1,1,2,5,3,3,3,5,6,1,,,22,6,14,12,54
2018/08/07 3:22:47 PM OEZ,5,Col_off,FB_off,3,2,2,3,2,2,1,2,5,3,5,2,5,5,1,,,10,7,15,11,43
2018/08/07 3:44:30 PM OEZ,5,Col_on,FB_on,5,5,5,2,5,1,1,2,5,5,6,2,5,6,1,,,17,9,18,12,56
2018/08/08 3:10:43 PM OEZ,6,Col_off,FB_on,4,5,2,7,3,4,2,1,6,5,2,5,7,5,1,,,18,10,18,13,59
2018/08/08 3:32:09 PM OEZ,6,Col_on,FB_off,4,5,6,3,2,4,5,6,5,5,5,6,5,5,2,,,18,17,21,12,68
2018/08/08 3:52:33 PM OEZ,6,Col_on,FB_on,4,5,5,5,3,4,5,5,6,5,6,5,6,5,2,,,19,17,22,13,71
2018/08/08 4:12:45 PM OEZ,6,Col_off,FB_off,4,5,3,5,5,4,5,5,5,5,5,4,5,5,2,,,17,19,19,12,67
2018/08/09 4:22:42 PM OEZ,7,Col_off,FB_off,6,6,7,5,4,4,5,2,2,2,3,3,5,3,5,,,24,15,10,13,62
2018/08/09 4:36:34 PM OEZ,7,Col_off,FB_on,6,7,7,6,4,4,5,5,5,2,2,4,4,3,3,,,26,18,13,10,67
2018/08/09 4:48:59 PM OEZ,7,Col_on,FB_on,5,6,7,6,4,4,5,4,4,3,4,5,5,4,3,,,24,17,16,12,69
2018/08/09 5:01:03 PM OEZ,7,Col_on,FB_off,6,6,7,7,4,4,5,4,5,4,5,4,5,4,3,,,26,17,18,12,73
2018/08/13 2:26:51 PM OEZ,8,Col_off,FB_off,6,7,6,6,4,4,4,4,2,3,4,3,7,5,1,,,25,16,12,13,66
2018/08/13 2:52:40 PM OEZ,8,Col_off,FB_on,5,6,5,6,2,4,4,2,4,4,2,3,4,4,5,,,22,12,13,13,60
2018/08/13 3:05:43 PM OEZ,8,Col_on,FB_off,5,5,5,6,4,4,3,4,5,5,6,4,5,5,2,,,21,15,20,12,68
2018/08/13 3:25:59 PM OEZ,8,Col_on,FB_on,5,7,6,7,4,4,4,4,6,5,6,4,6,5,2,,,25,16,21,13,75
2018/08/13 5:16:38 PM OEZ,9,Col_off,FB_off,3,3,4,5,4,4,4,4,3,2,3,1,1,2,6,,,15,16,9,9,49
2018/08/13 5:31:28 PM OEZ,9,Col_on,FB_on,4,4,4,5,5,5,5,5,6,6,5,4,4,5,3,,,17,20,21,12,70
2018/08/13 5:52:34 PM OEZ,9,Col_off,FB_on,5,5,5,5,5,6,6,6,6,5,4,6,6,6,4,,,20,23,21,16,80
2018/08/13 6:19:25 PM OEZ,9,Col_on,FB_off,4,4,4,3,3,3,4,5,5,5,4,4,4,5,5,,,15,15,18,14,62
2018/08/14 12:28:39 PM OEZ,10,Col_off,FB_off,7,7,3,6,4,4,5,1,4,5,6,6,7,7,7,,,23,14,21,21,79
2018/08/14 12:54:00 PM OEZ,10,Col_on,FB_on,7,7,3,7,4,7,4,2,3,6,5,4,6,6,2,,,24,17,18,14,73
2018/08/14 1:18:49 PM OEZ,10,Col_on,FB_off,7,7,5,7,4,4,4,1,5,4,5,6,6,6,1,,,26,13,20,13,72
2018/08/14 1:38:56 PM OEZ,10,Col_off,FB_off,6,6,6,7,4,4,4,2,5,6,6,6,6,6,1,,,25,14,23,13,75
2018/08/15 10:20:43 AM OEZ,11,Col_off,FB_off,4,2,2,2,3,4,1,2,6,5,2,5,7,7,1,,,10,10,18,15,53
2018/08/15 10:35:52 AM OEZ,11,Col_on,FB_off,4,6,6,5,6,4,4,3,1,1,2,4,6,5,2,,,21,17,8,13,59
2018/08/15 10:50:06 AM OEZ,11,Col_off,FB_on,4,7,7,7,7,4,2,1,7,1,6,6,6,7,4,,,25,14,20,17,76
2018/08/15 11:09:11 AM OEZ,11,Col_on,FB_on,4,7,6,7,6,4,4,4,3,2,5,4,5,6,2,,,24,14,20,17,69
2018/08/15 2:14:28 PM OEZ,12,Col_off,FB_off,4,1,1,1,4,4,4,1,3,3,3,4,2,6,2,,,7,18,14,13,43
2018/08/15 2:33:47 PM OEZ,12,Col_on,FB_off,4,6,3,5,2,4,1,1,5,2,4,4,2,5,2,,,18,13,13,10,50
2018/08/15 2:54:39 PM OEZ,12,Col_on,FB_on,4,7,4,7,2,4,2,1,4,2,3,4,2,4,2,,,22,8,15,9,52
2018/08/15 3:28:51 PM OEZ,12,Col_off,FB_on,4,4,2,3,2,4,2,2,5,5,4,4,2,5,2,,,13,9,13,8,50
2018/08/21 6:10:51 PM OEZ,13,Col_on,FB_on,5,3,6,6,5,4,6,6,7,5,3,6,7,5,2,,,20,10,18,9,76
2018/08/21 6:30:37 PM OEZ,13,Col_off,FB_on,7,7,7,6,6,3,7,3,6,6,6,7,6,6,2,,,27,21,21,14,85
2018/08/21 6:47:25 PM OEZ,13,Col_off,FB_off,1,1,4,2,2,3,3,2,2,2,1,2,2,2,6,,,8,19,25,14,35
2018/08/21 7:14:19 PM OEZ,13,Col_on,FB_off,1,1,1,1,1,1,2,5,2,2,2,2,4,3,3,,,4,10,7,10,31
2018/08/22 11:22:40 AM OEZ,14,Col_on,FB_on,5,2,5,6,3,6,2,7,3,5,3,5,7,5,1,,,18,9,8,10,65
2018/08/22 11:38:44 AM OEZ,14,Col_off,FB_on,3,3,5,5,2,2,5,5,5,5,5,3,5,5,1,,,16,18,16,13,59
2018/08/22 11:50:39 AM OEZ,14,Col_on,FB_off,3,5,3,5,2,5,5,5,3,5,3,4,6,4,1,,,16,14,18,11,59
2018/08/22 12:02:43 PM OEZ,14,Col_off,FB_off,4,3,5,2,5,4,2,2,2,3,2,3,3,3,6,,,14,17,15,11,49
2018/08/23 11:38:16 AM OEZ,15,Col_on,FB_on,4,6,6,6,4,4,5,5,5,3,4,4,3,4,5,,,22,13,10,12,68
2018/08/23 11:45:58 AM OEZ,15,Col_off,FB_off,5,6,6,6,6,6,5,6,5,5,4,4,3,4,5,,,23,18,16,12,76
2018/08/23 11:56:38 AM OEZ,15,Col_off,FB_on,5,5,5,5,4,4,5,5,4,3,4,4,3,4,5,,,20,23,18,12,65
2018/08/23 12:12:16 PM OEZ,15,Col_on,FB_off,4,3,4,3,4,4,4,3,3,3,4,4,4,4,6,,,14,18,15,12,57
2018/08/23 2:24:16 PM OEZ,16,Col_on,FB_on,1,1,1,1,3,5,4,4,4,4,6,6,6,5,2,,,4,18,15,12,53
2018/08/23 2:37:32 PM OEZ,16,Col_off,FB_off,5,5,5,5,5,4,4,4,4,4,5,5,5,5,2,,,20,15,14,14,67
2018/08/23 2:47:52 PM OEZ,16,Col_on,FB_off,4,4,4,4,4,4,4,4,4,4,4,5,5,5,1,,,16,16,20,13,60
2018/08/23 2:59:37 PM OEZ,16,Col_off,FB_on,4,4,4,4,4,4,4,4,5,5,6,6,1,4,1,,,16,17,18,12,60
2018/08/24 11:33:54 AM OEZ,17,Col_on,FB_on,4,6,5,7,1,1,1,7,2,3,5,5,7,6,2,,,22,16,17,11,62
2018/08/24 11:53:17 AM OEZ,17,Col_on,FB_off,6,5,6,5,1,1,2,6,4,4,5,6,7,5,4,,,22,16,22,6,67
2018/08/24 12:08:52 PM OEZ,17,Col_off,FB_on,3,6,4,6,1,1,2,7,3,4,5,6,7,5,2,,,19,10,15,15,62
2018/08/24 12:23:20 PM OEZ,17,Col_off,FB_off,1,2,1,3,1,1,1,7,2,2,1,2,7,3,4,,,7,10,19,16,38
2018/09/27 4:23:39 PM OEZ,18,Col_on,FB_on,4,5,7,7,4,4,6,2,6,6,3,6,1,3,1,,,23,11,18,14,65
2018/09/27 4:43:36 PM OEZ,18,Col_on,FB_off,3,5,7,5,4,4,2,1,6,5,1,2,2,5,3,,,20,10,7,14,55
2018/09/27 5:05:14 PM OEZ,18,Col_off,FB_off,5,3,6,5,1,1,1,2,3,2,3,2,2,4,5,,,19,8,23,10,45
2018/09/27 5:20:33 PM OEZ,18,Col_off,FB_on,7,7,5,7,4,4,2,1,3,2,1,6,2,4,1,,,26,9,19,11,56
2018/09/27 11:47:42 AM OEZ,19,Col_on,FB_off,3,2,4,2,4,5,7,5,5,5,4,7,7,6,2,,,11,6,14,10,68
2018/09/27 12:02:31 PM OEZ,19,Col_off,FB_on,6,7,6,7,4,4,5,5,3,5,6,7,7,6,2,,,26,10,17,11,80
2018/09/27 12:20:40 PM OEZ,19,Col_off,FB_off,2,1,3,2,3,3,5,6,5,4,3,5,6,5,3,,,8,21,21,15,56
2018/09/27 12:36:46 PM OEZ,19,Col_on,FB_on,6,5,7,4,5,5,6,6,6,5,5,5,7,6,2,,,22,18,21,15,80
2018/10/04 12:51:11 PM OEZ,20,Col_on,FB_off,4,4,6,5,2,2,4,4,5,3,5,5,5,3,2,,,19,17,17,14,59
2018/10/04 1:13:43 PM OEZ,20,Col_off,FB_on,2,2,6,5,2,2,2,2,3,3,4,3,5,6,3,,,15,22,21,15,50
2018/10/04 1:28:31 PM OEZ,20,Col_on,FB_on,2,2,2,5,2,2,2,2,3,2,3,2,5,5,3,,,11,16,21,5,42
2018/10/04 1:48:09 PM OEZ,20,Col_off,FB_off,2,2,2,3,2,2,2,4,2,2,2,3,5,5,5,,,9,11,14,10,43
2018/10/08 11:21:17 AM OEZ,21,Col_on,FB_off,5,6,5,5,2,3,3,5,1,1,1,2,2,2,6,,,21,5,10,11,49
2018/10/08 11:36:43 AM OEZ,21,Col_off,FB_off,5,3,4,5,3,3,3,5,2,2,2,2,3,3,6,,,17,11,12,7,51
2018/10/08 11:49:33 AM OEZ,21,Col_off,FB_on,5,7,7,6,4,4,4,4,5,6,2,4,6,5,2,,,25,12,18,10,71
2018/10/08 12:01:35 PM OEZ,21,Col_on,FB_on,5,3,5,4,2,3,5,5,4,4,3,2,5,5,2,,,17,8,13,14,57
2018/10/09 2:56:23 PM OEZ,22,Col_on,FB_off,3,2,2,3,1,2,2,2,5,4,4,3,3,2,3,,,10,8,10,13,41
2018/10/09 3:25:40 PM OEZ,22,Col_off,FB_off,2,2,3,2,2,2,1,2,2,2,5,5,6,4,2,,,9,10,9,15,42
2018/10/09 3:41:49 PM OEZ,22,Col_on,FB_on,4,5,5,5,4,4,2,4,5,5,5,5,5,5,2,,,19,13,5,10,65
2018/10/09 3:55:58 PM OEZ,22,Col_off,FB_on,4,5,5,4,5,4,4,3,5,5,5,5,5,5,2,,,18,14,8,12,66
2018/10/18 10:46:14 AM OEZ,23,Col_on,FB_off,3,1,2,2,1,1,2,4,1,5,1,7,7,7,1,,,8,16,17,13,45
2018/10/18 10:59:15 AM OEZ,23,Col_on,FB_on,2,1,1,1,1,1,3,7,1,1,1,7,7,1,1,,,5,15,13,12,36
2018/10/18 11:18:08 AM OEZ,23,Col_off,FB_on,1,1,1,1,1,1,1,7,4,3,3,7,7,4,1,,,4,7,16,8,43
2018/10/18 11:35:48 AM OEZ,23,Col_off,FB_off,1,1,1,1,1,1,1,7,1,4,1,7,7,1,1,,,4,7,14,12,36
2018/10/18 12:09:21 PM OEZ,24,Col_on,FB_off,5,7,6,6,4,4,2,2,3,4,3,3,7,7,2,,,24,14,20,12,65
2018/10/18 12:19:52 PM OEZ,24,Col_on,FB_on,4,4,6,5,4,4,4,4,5,3,5,5,7,7,2,,,19,16,20,12,69
2018/10/18 12:34:30 PM OEZ,24,Col_off,FB_off,4,4,4,5,4,4,4,4,5,4,5,4,7,7,1,,,17,8,14,15,66
2018/10/18 12:46:34 PM OEZ,24,Col_off,FB_on,4,4,4,6,4,4,4,4,5,4,5,4,7,7,1,,,18,12,10,9,67