Zeitstempel,Participant,Collision,Feedback,1. How much were you able to control events?,2. How responsive was the environment to actions that you initiated (or performed)?,3. How natural did your interactions with the environment seem?,4. How much did the visual aspects of the environment involve you?,5. How much did the auditory aspects of the environment involve you? ,6. How natural was the mechanism which controlled movement through the environment? ,7. How compelling was your sense of objects moving through space?,8. How much did your experiences in the virtual environment seem consistent with your real-world experiences?,9. Were you able to anticipate what would happen next in response to the actions that you performed? ,10. How completely were you able to actively survey or search the environment using vision?,11. How well could you identify sounds?,12. How well could you localize sounds? ,13. How well could you actively survey or search the virtual environment using touch? ,14. How compelling was your sense of moving around inside the virtual environment?,15. How closely were you able to examine objects?,16. How well could you examine objects from multiple viewpoints?,17. How well could you move or manipulate objects in the virtual environment?,18. How involved were you in the virtual environment experience? ,19. How much delay did you experience between your actions and expected outcomes?,20. How quickly did you adjust to the virtual environment experience?,21. How proficient in moving and interacting with the virtual environment did you feel at the end of the experience?,22. How much did the visual display quality interfere or distract you from performing assigned tasks or required activities?,23. How much did the control devices interfere with the performance of assigned tasks or with other activities?,24. How well could you concentrate on the assigned tasks or required activities rather than on the mechanisms used to perform those tasks or activities?,25. How completely were your senses engaged in this experience?,26. To what extent did events occurring outside the virtual environment distract from your experience in the virtual environment?,"27. Overall, how much did you focus on using the display and control devices instead of the virtual experience and experimental tasks?",28. Were you involved in the experimental task to the extent that you lost track of time?,"29. How easy was it to identify objects through physical interaction; like touching an object, walking over a surface, or bumping into a wall or object?",30. Were there moments during the virtual environment experience when you felt completely focused on the task or environment?,31. How easily did you adjust to the control devices used to interact with the virtual environment?,"32. Was the information provided through different senses in the virtual environment (e.g., vision, hearing, touch) consistent?"
,1,Col_off,FB_on,7,4,4,6,5,2,4,3,6,6,7,6,6,5,5,1,4,5,2,7,4,1,4,7,5,2,2,4,5,5,4,5
,1,Col_off,FB_off,6,5,5,5,3,3,4,3,4,6,2,1,2,6,7,1,6,5,2,6,4,3,6,6,4,2,4,4,1,3,4,3
,1,Col_on,FB_on,6,6,5,5,2,3,4,4,5,5,7,4,5,4,7,1,6,6,3,6,4,4,4,6,4,2,5,4,5,3,4,4
,1,Col_on,FB_off,6,5,5,3,1,3,5,2,5,6,1,1,2,6,7,1,5,5,1,6,4,5,2,5,5,2,3,4,1,4,4,4
,2,Col_off,FB_on,7,6,5,6,4,5,6,5,6,7,3,3,4,6,6,6,2,7,2,7,2,3,6,6,5,1,3,4,4,3,4,3
,2,Col_off,FB_off,6,6,5,6,3,6,6,6,6,6,2,2,6,6,6,6,6,5,3,7,6,3,4,6,3,1,3,4,1,3,5,4
,2,Col_on,FB_off,6,7,7,6,2,7,7,7,6,6,1,1,6,7,7,6,5,7,2,7,7,3,3,6,4,2,2,4,1,4,6,4
,2,Col_on,FB_on,7,7,7,7,6,7,6,7,7,6,6,6,6,6,7,6,5,7,2,7,7,3,3,6,6,2,2,5,5,4,5,4
,3,Col_off,FB_on,7,6,5,6,5,6,5,6,6,6,6,6,5,6,5,6,4,6,6,6,7,6,6,5,5,1,3,4,3,3,2,6
,3,Col_on,FB_on,5,4,5,5,5,5,4,5,6,5,6,6,4,4,5,5,5,6,1,5,6,5,5,5,4,2,4,4,5,2,3,5
,3,Col_off,FB_off,5,4,6,6,1,6,4,6,4,6,1,1,6,5,6,4,6,6,1,6,7,7,6,7,5,1,4,4,1,2,5,4
,3,Col_on,FB_off,7,6,6,6,5,7,5,6,6,5,2,2,3,6,6,5,3,5,1,6,6,6,6,6,4,1,3,5,1,2,5,4
,4,Col_off,FB_on,6,6,4,4,4,4,4,4,6,6,5,5,2,5,6,6,3,5,1,6,7,1,2,7,5,2,2,3,3,4,5,4
,4,Col_on,FB_on,6,6,4,4,6,4,4,5,6,6,6,6,1,5,6,6,4,4,1,7,7,2,2,7,5,2,3,3,6,3,3,4
,4,Col_on,FB_off,6,6,5,5,1,5,5,5,7,6,1,1,1,3,5,6,4,4,1,7,7,2,3,6,3,1,3,3,1,3,4,5
,4,Col_off,FB_off,6,7,4,4,1,4,4,3,6,6,1,1,1,5,6,6,1,4,1,7,7,2,2,6,3,3,3,2,1,3,5,2
,5,Col_off,FB_on,5,6,6,6,2,3,5,4,3,5,2,1,5,6,7,5,1,6,2,5,5,3,2,6,5,2,3,3,3,3,5,4
,5,Col_on,FB_off,6,6,5,6,2,4,5,5,4,5,2,1,4,6,7,5,2,6,2,6,6,3,3,6,5,1,3,3,2,3,5,4
,5,Col_off,FB_off,6,6,5,5,2,5,6,5,6,6,1,1,6,6,7,5,3,6,2,5,6,2,5,6,3,3,3,3,1,3,5,4
,5,Col_on,FB_on,6,6,5,6,2,6,6,5,6,6,5,2,5,6,6,5,6,6,2,6,6,5,3,3,4,2,3,4,4,3,6,5
,6,Col_off,FB_on,6,5,4,6,2,2,5,1,4,6,7,2,1,5,5,6,2,6,1,6,7,6,4,6,4,1,4,3,3,2,4,4
,6,Col_on,FB_off,6,6,5,6,2,2,5,6,6,6,1,1,1,5,5,6,2,4,1,6,7,2,6,5,3,2,4,3,2,3,3,3
,6,Col_on,FB_on,6,5,6,6,4,2,5,5,6,6,6,2,1,5,5,6,3,5,1,7,7,2,2,6,3,1,3,3,5,4,4,4
,6,Col_off,FB_off,6,5,4,5,4,2,5,2,6,6,1,1,1,6,5,6,3,5,1,7,7,2,4,6,3,1,3,3,1,4,4,2
,7,Col_off,FB_off,5,6,2,4,2,5,4,4,3,6,1,1,1,5,6,5,2,4,5,7,4,4,5,6,3,1,3,3,1,2,4,4
,7,Col_off,FB_on,5,6,4,4,4,6,4,3,4,6,3,5,1,5,5,4,2,4,2,7,4,1,3,5,3,1,2,3,5,3,5,4
,7,Col_on,FB_on,5,5,4,4,4,5,4,5,4,5,4,4,1,4,3,4,1,4,2,7,4,2,2,5,4,2,3,3,5,3,5,4
,7,Col_on,FB_off,4,5,3,3,2,5,4,3,4,4,2,2,2,4,5,2,1,5,2,7,4,3,2,5,3,1,3,2,1,3,5,3
,8,Col_off,FB_off,4,5,3,5,4,5,4,4,5,7,1,1,4,6,6,6,4,6,1,7,7,2,2,7,5,2,3,3,1,4,6,4
,8,Col_off,FB_on,4,3,4,6,6,6,3,5,6,7,6,6,4,6,6,6,4,6,1,7,7,2,3,7,6,1,3,3,4,4,6,5
,8,Col_on,FB_off,6,6,6,6,4,6,5,6,6,6,1,1,4,7,6,6,4,6,1,7,7,3,4,7,6,1,2,4,1,4,6,4
,8,Col_on,FB_on,6,6,6,6,6,6,5,6,6,6,6,5,4,6,6,6,4,6,1,7,7,3,4,7,6,1,3,4,4,4,6,5
,9,Col_off,FB_off,6,5,5,6,4,4,5,5,5,6,1,1,4,5,6,5,4,5,1,6,5,5,5,7,5,1,4,4,2,3,4,4
,9,Col_on,FB_on,6,6,6,6,5,6,5,5,5,6,6,6,6,6,7,6,6,5,1,6,6,5,5,7,5,1,3,4,4,3,5,6
,9,Col_off,FB_on,6,5,5,5,5,5,5,5,5,5,6,6,6,6,7,6,6,6,2,5,5,5,5,6,5,1,3,4,4,3,5,6
,9,Col_on,FB_off,5,5,5,6,4,6,5,5,6,6,1,1,4,6,5,5,6,5,6,6,6,6,6,7,5,1,4,4,1,2,5,4
,10,Col_off,FB_off,6,6,5,7,1,3,4,4,5,7,1,1,1,4,5,6,1,7,2,7,4,3,5,6,4,2,4,3,2,3,3,3
,10,Col_on,FB_on,5,5,5,6,5,3,6,3,6,7,7,5,5,5,6,6,6,6,2,7,5,3,6,4,5,2,4,3,4,3,3,6
,10,Col_on,FB_off,6,6,5,7,1,5,5,5,7,7,1,1,1,5,4,6,1,6,1,7,6,2,4,6,5,2,3,3,1,4,4,3
,10,Col_off,FB_on,6,6,6,7,4,6,7,6,6,7,6,3,6,5,5,6,4,7,1,7,6,2,4,6,6,3,3,4,3,4,5,6
,11,Col_off,FB_off,6,6,6,5,1,1,5,3,5,6,1,1,1,2,5,5,1,5,1,6,5,5,3,6,3,1,5,3,1,2,3,3
,11,Col_on,FB_off,5,6,3,5,1,3,4,3,6,6,1,1,1,2,5,5,1,5,2,6,6,4,4,6,3,1,4,2,1,2,3,3
,11,Col_off,FB_on,6,6,2,5,5,2,4,2,6,6,6,3,4,3,5,6,1,5,2,6,7,4,4,5,4,1,4,3,4,2,3,5
,11,Col_on,FB_on,6,6,2,5,6,2,6,1,6,6,6,1,4,3,6,6,1,6,2,6,6,4,4,6,5,1,4,3,5,2,3,5
,12,Col_off,FB_off,6,6,6,6,4,5,7,6,6,6,4,4,4,6,7,7,4,6,1,7,6,1,2,7,5,1,2,3,1,4,5,5
,12,Col_on,FB_off,7,7,6,6,4,6,6,6,6,6,4,4,4,6,7,7,4,6,1,7,6,1,1,7,5,1,1,4,1,4,6,5
,12,Col_on,FB_on,6,7,6,7,4,6,7,4,6,7,4,4,4,6,7,7,4,6,1,7,7,1,1,7,5,2,1,3,4,4,6,5
,12,Col_off,FB_on,7,7,6,6,6,6,6,6,6,6,7,7,4,6,7,7,4,7,1,7,7,1,1,7,6,1,1,4,3,5,6,6
,13,Col_on,FB_on,7,5,6,4,4,6,5,6,7,6,6,7,5,6,6,7,7,6,2,6,7,1,1,7,5,2,1,3,4,4,6,5
,13,Col_off,FB_on,6,5,6,5,4,7,6,6,7,6,4,6,5,6,5,7,5,6,1,7,7,1,1,7,5,1,1,3,3,4,7,5
,13,Col_off,FB_off,6,5,5,6,4,7,2,6,7,6,1,1,1,1,5,6,5,6,1,7,6,1,5,7,5,1,3,4,1,3,4,3
,13,Col_on,FB_off,5,6,5,6,4,7,2,6,6,6,1,1,1,2,5,7,5,6,1,7,7,1,1,7,5,1,2,3,1,4,5,3
,14,Col_on,FB_on,5,6,3,6,6,5,3,5,5,6,6,2,2,5,4,6,3,5,2,3,6,3,3,7,5,1,3,3,4,3,5,4
,14,Col_off,FB_on,5,5,6,5,6,5,3,5,5,6,6,6,3,6,3,6,4,6,2,6,5,3,3,5,5,1,3,3,4,4,5,5
,14,Col_on,FB_off,5,5,5,6,4,6,4,6,5,6,4,4,4,5,6,6,5,6,3,4,5,3,3,5,5,1,3,3,1,4,5,5
,14,Col_off,FB_off,6,5,5,5,4,6,2,5,5,5,4,4,4,5,5,6,4,5,3,6,6,3,3,6,5,1,3,3,1,3,5,4
,15,Col_on,FB_on,7,4,4,5,6,5,5,6,6,7,5,4,5,7,7,7,1,6,3,6,6,4,4,3,6,1,3,4,4,4,5,5
,15,Col_off,FB_off,6,5,5,5,6,4,5,3,5,5,6,6,5,5,7,7,2,5,3,3,6,4,4,3,4,1,3,3,1,2,4,5
,15,Col_off,FB_on,5,5,3,4,5,3,4,3,4,5,5,5,5,3,6,7,3,4,6,5,6,4,4,4,4,1,4,3,3,2,3,5
,15,Col_on,FB_off,5,4,3,4,4,3,5,4,5,5,3,2,5,5,6,6,3,5,3,4,5,4,4,5,4,1,4,3,1,3,4,4
,16,Col_on,FB_on,6,5,5,6,7,5,7,4,6,7,5,2,4,3,5,5,7,6,2,7,6,3,2,7,6,1,3,3,5,3,5,5
,16,Col_off,FB_off,6,5,3,5,2,2,2,1,7,7,1,1,1,7,7,5,1,5,1,7,3,2,3,7,3,1,3,2,1,3,5,2
,16,Col_on,FB_off,5,6,6,5,1,6,6,6,7,5,1,1,1,6,5,2,1,3,1,7,7,5,5,7,3,1,3,3,1,2,5,3
,16,Col_off,FB_on,5,6,3,6,5,2,7,2,7,6,6,5,7,7,5,5,6,6,1,7,6,3,4,6,5,1,3,3,3,3,4,6
,17,Col_on,FB_on,5,6,4,6,6,7,6,5,6,6,7,7,6,6,6,7,6,6,4,7,7,1,4,7,5,1,2,4,5,4,5,6
,17,Col_on,FB_off,6,5,6,6,1,6,6,5,7,7,1,1,1,6,6,6,6,6,2,7,7,1,2,7,5,1,2,3,1,4,6,3
,17,Col_off,FB_on,7,7,6,7,6,6,6,5,7,7,7,7,6,7,6,6,5,6,1,7,7,1,1,7,6,1,1,4,2,5,7,6
,17,Col_off,FB_off,7,2,3,4,1,6,5,4,7,7,1,1,1,7,7,7,4,7,1,7,7,1,1,7,4,1,1,2,1,5,7,3
,18,Col_on,FB_on,5,6,5,3,7,7,2,3,6,7,6,4,7,7,3,6,5,6,1,6,4,6,1,3,4,2,2,3,5,3,7,5
,18,Col_on,FB_off,6,2,5,6,6,5,4,3,2,2,7,5,4,5,5,6,1,6,1,6,7,7,1,4,5,1,3,3,2,2,6,5
,18,Col_off,FB_off,5,2,2,3,6,6,2,2,3,5,6,5,6,7,3,6,1,6,1,6,6,6,1,5,4,2,3,2,1,3,6,5
,18,Col_off,FB_on,5,2,1,6,6,6,2,3,2,6,5,5,7,6,3,6,1,6,1,6,6,6,1,5,5,1,3,3,3,3,6,5
,19,Col_on,FB_off,6,5,5,4,3,5,5,5,7,6,4,4,4,6,6,7,4,4,4,6,5,4,2,6,4,1,3,3,1,3,6,4
,19,Col_off,FB_on,6,5,5,4,6,5,6,4,6,5,7,6,5,4,6,6,5,4,4,6,6,4,5,6,5,2,3,3,3,2,4,5
,19,Col_off,FB_off,6,6,5,6,4,6,6,5,5,6,4,4,4,6,6,6,4,4,4,7,7,3,4,5,5,1,3,3,1,3,5,5
,19,Col_on,FB_on,5,5,5,5,5,5,5,6,6,6,6,2,5,4,6,6,5,4,4,7,7,4,3,5,5,2,3,3,5,3,5,5
,20,Col_on,FB_off,7,6,6,5,1,4,5,5,5,6,1,1,3,6,5,6,1,6,2,5,5,3,5,6,4,1,3,3,1,3,4,3
,20,Col_off,FB_on,6,6,5,6,5,5,5,4,5,6,6,6,3,5,5,6,2,5,2,6,6,5,3,6,5,1,3,4,3,3,5,5
,20,Col_on,FB_on,6,6,5,5,5,4,3,5,6,5,6,6,5,5,5,6,1,4,2,6,6,5,2,5,5,1,3,3,5,3,5,5
,20,Col_off,FB_off,6,3,3,5,1,3,3,4,6,6,1,1,1,4,5,6,1,4,2,5,6,2,2,6,3,2,3,2,2,3,4,2
,21,Col_on,FB_off,5,5,3,6,4,5,4,5,6,5,1,1,4,3,3,5,1,6,3,6,6,3,3,5,5,2,3,3,2,3,4,4
,21,Col_off,FB_off,4,3,5,6,4,6,5,3,5,5,1,1,4,6,3,4,1,5,4,3,5,3,2,5,4,2,3,3,1,3,6,4
,21,Col_off,FB_on,5,5,2,5,1,5,4,2,4,5,2,6,4,5,5,5,3,2,4,6,6,4,4,2,2,2,3,2,3,2,4,3
,21,Col_on,FB_on,5,5,4,5,4,5,5,5,3,5,5,6,5,5,4,5,3,5,3,6,4,5,3,4,5,2,3,3,5,3,5,5
,22,Col_on,FB_off,5,5,5,5,1,3,4,5,5,5,1,1,4,4,4,5,4,5,2,7,7,1,2,7,4,2,3,2,1,3,4,3
,22,Col_off,FB_off,6,6,4,4,4,4,4,2,6,6,1,1,1,6,6,7,2,5,1,7,7,1,4,6,3,1,3,3,1,3,5,3
,22,Col_on,FB_on,6,6,6,5,4,6,4,5,6,6,3,3,2,5,5,5,4,5,1,7,6,1,5,6,4,1,3,3,5,3,5,4
,22,Col_off,FB_on,6,5,4,5,3,4,4,3,6,6,3,4,4,5,6,6,1,5,1,7,7,1,3,5,4,1,3,2,4,3,5,4
,23,Col_on,FB_off,6,7,6,7,2,5,6,6,7,6,1,1,1,6,7,6,1,7,2,6,7,1,1,7,5,2,2,3,1,5,6,4
,23,Col_on,FB_on,6,7,5,6,7,5,6,5,7,7,7,7,7,4,6,7,1,6,1,5,6,2,2,6,5,1,3,4,4,4,5,7
,23,Col_off,FB_on,7,7,5,5,7,5,6,6,7,7,7,7,1,6,6,7,4,6,1,5,6,2,1,7,6,2,2,4,4,4,6,6
,23,Col_off,FB_off,7,7,6,6,1,6,5,6,7,7,1,1,1,5,7,7,1,6,1,5,6,1,1,7,6,1,2,3,1,4,6,3
,24,Col_on,FB_off,6,4,3,4,1,2,5,5,5,6,1,1,1,5,7,4,1,6,1,6,6,2,2,5,4,1,3,2,1,4,4,3
,24,Col_on,FB_on,3,4,3,3,3,4,5,5,6,6,6,4,6,6,5,5,4,6,1,6,7,3,1,6,4,1,3,2,4,4,5,5
,24,Col_off,FB_off,6,4,4,4,1,4,5,4,5,6,1,1,1,7,6,5,4,6,1,7,5,4,3,5,3,2,2,3,1,3,5,3
,24,Col_off,FB_on,5,5,4,4,4,4,5,5,6,6,4,4,4,6,6,5,2,6,1,7,5,5,3,6,5,1,3,3,3,3,5,4